,Date,Open,High,Low,Close,Volume,year,TrendValue,Trend,Up Days,Down Days,RSI,Close Rateofchange,OBV,VWAP,Prediction Value
142,2000-07-27,1317.0,1342.75,1291.3,1338.05,41436644,2000,-29.0,Downtrend,0.0,29.0,99.69641082046994,-0.10339397594398092,255954431,1466.006991754085,0
143,2000-07-28,1337.7,1359.4,1327.95,1333.8,44541451,2000,16.0,Uptrend,16.0,0.0,99.58978341186543,-0.0935471813517279,211412980,1458.5745493004958,1
144,2000-07-31,1333.3,1343.65,1317.3,1332.85,28942787,2000,-15.0,Downtrend,0.0,15.0,99.62960219319741,-0.10861060023407465,182470193,1451.5695883067076,0
145,2000-08-01,1332.85,1344.5,1322.6,1326.85,32539550,2000,0.0,No change,0.0,0.0,99.62960219319741,-0.1220472440944882,149930643,1445.5268980424696,0
146,2000-08-02,1323.7,1333.85,1312.25,1331.9,30378509,2000,-10.0,Downtrend,0.0,10.0,99.65661553801381,-0.12722387864093565,180309152,1438.0435731884709,0
147,2000-08-03,1330.7,1339.4,1319.0,1321.25,37075727,2000,5.0,Uptrend,5.0,0.0,99.61519345631199,-0.12892273206751048,143233425,1428.7041861825442,1
148,2000-08-04,1320.25,1333.15,1302.65,1318.55,38818913,2000,-6.0,Downtrend,0.0,6.0,99.63471251076712,-0.13116104375329463,104414512,1419.3736223763915,0
149,2000-08-07,1319.7,1321.7,1299.9,1310.8,33735626,2000,-11.0,Downtrend,0.0,11.0,99.66862578830386,-0.1317192726790979,70678886,1409.7914414098368,0
150,2000-08-08,1312.1,1348.25,1311.15,1345.6,38046488,2000,26.0,Uptrend,26.0,0.0,99.41926038157372,-0.11389154127292489,108725374,1400.7557478748702,1
151,2000-08-09,1345.95,1363.95,1341.05,1344.95,44986130,2000,15.0,Uptrend,15.0,0.0,99.26025207566279,-0.12286822969315547,63739244,1391.2366604463816,1
152,2000-08-10,1345.25,1360.4,1325.15,1328.0,44327298,2000,-3.0,Downtrend,0.0,3.0,99.28503116923642,-0.12780769735977926,19411946,1381.3520477416942,0
153,2000-08-11,1328.15,1328.15,1306.6,1310.75,36412192,2000,-32.0,Downtrend,0.0,32.0,99.48656579868342,-0.13180990230170553,-17000246,1370.0053852963176,0
154,2000-08-14,1312.25,1321.55,1295.45,1317.9,43856581,2000,-6.0,Downtrend,0.0,6.0,99.51472324749409,-0.10931639239009228,26856335,1358.2761849819558,0
155,2000-08-16,1319.35,1354.95,1319.35,1351.45,40974798,2000,33.0,Uptrend,33.0,0.0,99.17472320597629,-0.07631057343995618,67831133,1350.018707397607,1
